ID,Ulasan,Label
1,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
2,Dealer tidak responsif terhadap keluhan pelanggan,negatif
3,Sangat cocok untuk keluarga kecil seperti saya,positif
4,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
5,Mesin cepat panas dan boros bahan bakar,negatif
6,Garansi yang diberikan membuat saya merasa aman,positif
7,AC mobil tidak dingin sejak pertama pakai,negatif
8,Sangat cocok untuk keluarga kecil seperti saya,positif
9,Suspensi terlalu keras membuat tidak nyaman,negatif
10,Desain interiornya modern dan elegan,positif
11,Handling mobil ini luar biasa di jalan berliku,positif
12,Sangat cocok untuk keluarga kecil seperti saya,positif
13,AC mobil tidak dingin sejak pertama pakai,negatif
14,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
15,AC mobil tidak dingin sejak pertama pakai,negatif
16,Saya sangat puas dengan performa mesin mobil ini,positif
17,Showroom sangat membantu selama proses pembelian,positif
18,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
19,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
20,Garansi yang diberikan membuat saya merasa aman,positif
21,Sangat cocok untuk keluarga kecil seperti saya,positif
22,AC mobil tidak dingin sejak pertama pakai,negatif
23,Fitur mobil sering error dan tidak berfungsi,negatif
24,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
25,Suara mesin terlalu bising saat dikendarai,negatif
26,Harga tidak sebanding dengan kualitas yang diberikan,negatif
27,Fitur mobil sering error dan tidak berfungsi,negatif
28,Saya sangat puas dengan performa mesin mobil ini,positif
29,Fitur mobil sering error dan tidak berfungsi,negatif
30,Suara mesin terlalu bising saat dikendarai,negatif
31,Fitur mobil sering error dan tidak berfungsi,negatif
32,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
33,Harga tidak sebanding dengan kualitas yang diberikan,negatif
34,Fitur mobil sering error dan tidak berfungsi,negatif
35,Harga tidak sebanding dengan kualitas yang diberikan,negatif
36,Mobil sering mogok meskipun baru dibeli,negatif
37,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
38,Mobil sering mogok meskipun baru dibeli,negatif
39,Garansi yang diberikan membuat saya merasa aman,positif
40,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
41,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
42,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
43,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
44,Mesin cepat panas dan boros bahan bakar,negatif
45,Saya sangat puas dengan performa mesin mobil ini,positif
46,Showroom sangat membantu selama proses pembelian,positif
47,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
48,Mesin cepat panas dan boros bahan bakar,negatif
49,Garansi yang diberikan membuat saya merasa aman,positif
50,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
51,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
52,Mobil sering mogok meskipun baru dibeli,negatif
53,Garansi yang diberikan membuat saya merasa aman,positif
54,Garansi yang diberikan membuat saya merasa aman,positif
55,AC mobil tidak dingin sejak pertama pakai,negatif
56,Saya kecewa dengan kualitas interior yang murahan,negatif
57,Showroom sangat membantu selama proses pembelian,positif
58,Mesin cepat panas dan boros bahan bakar,negatif
59,Suara mesin terlalu bising saat dikendarai,negatif
60,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
61,Saya kecewa dengan kualitas interior yang murahan,negatif
62,Sangat cocok untuk keluarga kecil seperti saya,positif
63,Showroom sangat membantu selama proses pembelian,positif
64,Handling mobil ini luar biasa di jalan berliku,positif
65,Garansi yang diberikan membuat saya merasa aman,positif
66,Harga tidak sebanding dengan kualitas yang diberikan,negatif
67,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
68,Pelayanan di bengkel luar biasa dan sangat cepat,positif
69,Mesin cepat panas dan boros bahan bakar,negatif
70,Showroom sangat membantu selama proses pembelian,positif
71,Garansi yang diberikan membuat saya merasa aman,positif
72,Pelayanan di bengkel luar biasa dan sangat cepat,positif
73,Fitur mobil sering error dan tidak berfungsi,negatif
74,Mesin cepat panas dan boros bahan bakar,negatif
75,Harga tidak sebanding dengan kualitas yang diberikan,negatif
76,Suara mesin terlalu bising saat dikendarai,negatif
77,Saya kecewa dengan kualitas interior yang murahan,negatif
78,Sangat cocok untuk keluarga kecil seperti saya,positif
79,Suara mesin terlalu bising saat dikendarai,negatif
80,Saya kecewa dengan kualitas interior yang murahan,negatif
81,AC mobil tidak dingin sejak pertama pakai,negatif
82,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
83,Desain interiornya modern dan elegan,positif
84,Pelayanan di bengkel luar biasa dan sangat cepat,positif
85,Harga tidak sebanding dengan kualitas yang diberikan,negatif
86,Sangat cocok untuk keluarga kecil seperti saya,positif
87,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
88,Mobil sering mogok meskipun baru dibeli,negatif
89,Suspensi terlalu keras membuat tidak nyaman,negatif
90,Mobil sering mogok meskipun baru dibeli,negatif
91,Saya kecewa dengan kualitas interior yang murahan,negatif
92,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
93,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
94,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
95,Garansi yang diberikan membuat saya merasa aman,positif
96,Harga tidak sebanding dengan kualitas yang diberikan,negatif
97,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
98,Handling mobil ini luar biasa di jalan berliku,positif
99,Dealer tidak responsif terhadap keluhan pelanggan,negatif
100,Pelayanan di bengkel luar biasa dan sangat cepat,positif
101,Harga tidak sebanding dengan kualitas yang diberikan,negatif
102,Harga tidak sebanding dengan kualitas yang diberikan,negatif
103,Saya sangat puas dengan performa mesin mobil ini,positif
104,Harga tidak sebanding dengan kualitas yang diberikan,negatif
105,AC mobil tidak dingin sejak pertama pakai,negatif
106,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
107,Saya kecewa dengan kualitas interior yang murahan,negatif
108,Harga tidak sebanding dengan kualitas yang diberikan,negatif
109,Desain interiornya modern dan elegan,positif
110,Saya sangat puas dengan performa mesin mobil ini,positif
