ID,Name,Industry,Description,Year Founded,Employees,State,City,Metro Area,Total Revenue,Total Expense,Total Profit
1,Over-Hex,Software,"Provides a Web-based CRM tool that allows hospice and home care companies to target new sales opportunities, cut down on administrative tasks, monitor marketing compliance and protect referral source information.",2006,25,TN,Franklin,Nashville,13631351.98,1368842.36,12262509.62
2,Unimattax,IT Services,"Helps law firms use Thomson Reuters Elite practice management software more effectively, providing implementation, training, customization and upgrades.",2009,36,PA,Newtown Square,Philadelphia,18329348.64,1134976.74,17194371.9
3,Lexila,Real Estate,"Offers investment, construction, residential, commercial, and brokerage services.",2013,38,IL,Tinley Park,Chicago,14848316.01,2596681.34,12251634.68
4,Greenfax,Retail,A Verizon Wireless premium retailer that offers products and services throughout its 36 retail locations.,2012,320,SC,Greenville,"Newberry, SC",10795018.74,1916866.91,8878151.83
5,Saoace,Energy,"An energy efficiency consulting firm that works with business owners to educate them on cutting costs, increasing productivity and profitability, and reducing negative effects energy consumption has on air quality and water supply.",2009,24,WI,New Holstein,"Appleton, WI",14097749.07,3532648.13,10565100.94
6,Donplus,Advertising & Marketing,"Offers public relations consulting services to food and beverage, baby and children's products, and franchise and lifestyle clients to create ROI driven campaigns, land strategic media placement opportunities, and deliver results for its clients.",2009,26,CA,Los Angeles,Los Angeles,9232038.01,3810004.38,5422033.64
7,Blacklane,IT Services,"Provides technology support services with a focus on managed services, infrastructure implementation, and custom software development. The company doesn't sell software products, but prefers to partner with distributors who do so as to grow a wider customer base.",2011,66,CA,Orange,Los Angeles,12135099.75,5501406.04,6633693.71
8,Toughtam,Logistics & Transportation,"An asset-backed, third-party logistics company providing full truckload, less than truckload, heavy haul, tanker, expedited, flatbed, and specialized transportation services across North America.",2011,20,AL,Birmingham,"Birmingham-Hoover, AL",12604780.72,747907.51,11856873.21
9,Zimlane,Human Resources,"Provides staff for engineering, IT, clerical, and technical positions for the automotive, aerospace, and robotic automation industries.",2010,675,MI,Troy,Detroit,8327131.37,2331799.88,5995331.49
10,Quotelane,Advertising & Marketing,"A media buying agency for all types of broadcasting: TV, radio, national cable networks, and satellite.",2013,4,SC,Greenville,"Greenville-Mauldin-Easley, SC",11383024.13,4051818.3,7331205.83
11,Ganzzap,Advertising & Marketing,"Specializes in reaching business professionals online wherever they travel Bizo can precisely target more than 120 million professionals around the world, including more than 80 percent of the U.S. business population.",2011,133,CA,San Francisco,San Francisco,9253125.13,23929114.65,-14675989.52
12,Yearflex,Software,Offers cloud-based practice management and electronic health record information systems for the optometry community.,2013,45,WI,Madison,"Madison, WI",11756474.57,5151618.7,6604855.87
13,Indigoplanet,IT Services,"Offers enterprise-level Drupal development to create robust, high-performance, dynamic websites for its clients. Reaction also provides strategic planning, creative design and expert project management services.",2013,60,NJ,Manalapan,New York City,9427445.59,5548210.53,3879235.06
14,Indigoholding,Logistics & Transportation,"An international logistics company that simplifies relations among vendors, more than 2,500 customers, 68 of its own trucking units and a database of 22,500 carriers nationwide.",2009,78,OH,Blue Ash,Cincinnati,12029734.53,6150758.15,5878976.38
15,Lexinamex,Insurance,"Provides back-end financial management services for health benefit administrators, health plans, private exchanges, and state governments in all 50 states.",2013,87,NE,Omaha,"Omaha-Council Bluffs, NE-IA",16414669.56,5267663.48,11147006.07
16,Treslam,Financial Services,"A payment processor serving sales agents, financial institutions and merchants with services and benefits including next-day funding with a late cut-off time and graphical, Web-based reporting.",2009,116,MO,Clayton,"St. Louis, MO-IL",4331205.61,5134519.65,-803314.04
17,O-Tindax,Insurance,"An IT consultancy exclusively focused on SAP integration, applications, analytics, training, and staff augmentation.",2010,2,PA,Bethel Park,"Pittsburgh, PA",8402662.96,3246420.32,5156242.63
18,Doublelane,Food & Beverage,A family-owned restaurant business that offers live music in addition to a Southern food menu. It hires from within the community it serves when expanding its business.,2012,515,TN,Franklin,Nashville,11872725.62,4551314.52,7321411.1
19,Rednimdox,Construction,"An electrical contractor that offers electrical and power services, from core and shell construction and complex power installations to sophisticated wiring installations for multi-floor fit-outs and complex life safety control installations.",2013,73,NY,Woodside,New York City,10021563.5,4424602.43,5596961.07
20,Lamtone,IT Services,"Helps companies simplify IT operations by building and integrating data center operations. Kovarus has expertise in virtualization, storage and cloud platforms.",2009,55,CA,San Ramon,San Francisco,8271435.11,8388147.45,-116712.34
21,Geocom,Telecommunications,"A single source provider for microwave point-to-point and point-to-multipoint radio networks. Its specialties include applications for wireless backhaul, ultra low latency HFT and wireless point to point communication links.",2010,115,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",11097911.74,5108968.06,5988943.68
22,Stripfind,Financial Services,Provides cloud-based electronic payment and social marketing software to businesses of all sizes.,2010,25,FL,Boca Raton,Miami,13615051.86,3915196.16,9699855.7
23,Canecorporation,Health,"Manufactures and markets a noninvasive electrotherapy medical device that treats depression, anxiety, and insomnia without drugs.",2012,6,NY,New York,New York City,13061401.96,7022723.66,6038678.29
24,Cankix,Business Products & Services,A boutique experience research and design agency.,2010,15,NY,New York,New York City,11309113.4,3291766.2,8017347.2
25,Mattouch,IT Services,Provides design and development services for websites and mobile apps as well as providing marketing strategy.,2013,6,WA,Bellevue,Seattle,10747714.49,9181242.76,1566471.73
26,Physgreen,Consumer Products & Services,Designs and makes rugged and semi-rugged cases to safeguard mobile electronics devices and other valuables.,2013,800,CO,Fort Collins,"Boulder, CO",12678071.05,3474174.34,9203896.71
27,Cantonlux,Food & Beverage,"Imports chocolate and bulk non-GMO sweeteners primarily from Columbia, warehouses them in public warehouses throughout North America and sells them to industrial food manufacturers.",2012,7,KS,Overland Park,"Kansas City, MO-KS",12199529.7,2659226.74,9540302.96
28,Techdrill,Health,Works with a discount medical plan organization (DMPO) to offer a provider-owned network of chiropractors who want to assist patients who are uninsured or underinsured by offering discounts upon membership.,2009,9,MS,Flowood,"Jackson, MS",12801672.03,7036618.31,5765053.72
29,Techline,IT Services,Provides professional staff that are knowledgeable in multiple areas of digital technology to companies undergoing critical changes and growth.,2006,65,CA,San Ramon,San Francisco,11233372.05,6732807.99,4500564.06
