ID,Ulasan,Label
1,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
2,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
3,"td nya ragu, tp pas coba mantap jiwa",positif
4,"udah dapet diskon gede, performa mantep jg",positif
5,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
6,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
7,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
8,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
9,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
10,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
11,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
12,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
13,interiornya kyk mainan anak2 😬,negatif
14,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
15,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
16,murmer tp ga murahan 😁,positif
17,"udah dapet diskon gede, performa mantep jg",positif
18,"udah dapet diskon gede, performa mantep jg",positif
19,"udah dapet diskon gede, performa mantep jg",positif
20,"td nya ragu, tp pas coba mantap jiwa",positif
21,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
22,"gila sih ini, mesin berisik parah 😤",negatif
23,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
24,"td nya ragu, tp pas coba mantap jiwa",positif
25,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
26,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
27,puas bgt dah ama mobilnya 🚗💨,positif
28,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
29,GA REKOMEN!! bnyk fitur fake news 😒,negatif
30,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
31,"katanya irit, tp nyatanya boros cuy 😤",negatif
32,puas bgt dah ama mobilnya 🚗💨,positif
33,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
34,"td nya ragu, tp pas coba mantap jiwa",positif
35,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
36,murmer tp ga murahan 😁,positif
37,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
38,"Pelayanan CS-nya B aja, slow respon 😑",negatif
39,"katanya irit, tp nyatanya boros cuy 😤",negatif
40,"katanya irit, tp nyatanya boros cuy 😤",negatif
41,puas bgt dah ama mobilnya 🚗💨,positif
42,"katanya irit, tp nyatanya boros cuy 😤",negatif
43,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
44,"td nya ragu, tp pas coba mantap jiwa",positif
45,GA REKOMEN!! bnyk fitur fake news 😒,negatif
46,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
47,mobilnya MANTUL bgttt 😍👍,positif
48,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
49,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
50,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
51,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
52,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
53,interiornya kyk mainan anak2 😬,negatif
54,"td nya ragu, tp pas coba mantap jiwa",positif
55,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
56,"td nya ragu, tp pas coba mantap jiwa",positif
57,"udah dapet diskon gede, performa mantep jg",positif
58,"katanya irit, tp nyatanya boros cuy 😤",negatif
59,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
60,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
61,"Pelayanan CS-nya B aja, slow respon 😑",negatif
62,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
63,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
64,puas bgt dah ama mobilnya 🚗💨,positif
65,"Pelayanan CS-nya B aja, slow respon 😑",negatif
66,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
67,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
68,mobilnya MANTUL bgttt 😍👍,positif
69,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
70,interiornya kyk mainan anak2 😬,negatif
71,puas bgt dah ama mobilnya 🚗💨,positif
72,puas bgt dah ama mobilnya 🚗💨,positif
73,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
74,"Pelayanan CS-nya B aja, slow respon 😑",negatif
75,mobilnya MANTUL bgttt 😍👍,positif
76,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
77,murmer tp ga murahan 😁,positif
78,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
