ID,Ulasan,Label
1,Mesin cepat panas dan boros bahan bakar,negatif
2,Sangat cocok untuk keluarga kecil seperti saya,positif
3,Harga tidak sebanding dengan kualitas yang diberikan,negatif
4,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
5,Suara mesin terlalu bising saat dikendarai,negatif
6,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
7,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
8,Pelayanan di bengkel luar biasa dan sangat cepat,positif
9,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
10,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
11,AC mobil tidak dingin sejak pertama pakai,negatif
12,Desain interiornya modern dan elegan,positif
13,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
14,Saya sangat puas dengan performa mesin mobil ini,positif
15,Fitur mobil sering error dan tidak berfungsi,negatif
16,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
17,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
18,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
19,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
20,Fitur mobil sering error dan tidak berfungsi,negatif
21,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
22,Mesin cepat panas dan boros bahan bakar,negatif
23,Harga tidak sebanding dengan kualitas yang diberikan,negatif
24,Harga tidak sebanding dengan kualitas yang diberikan,negatif
25,Suara mesin terlalu bising saat dikendarai,negatif
26,Saya kecewa dengan kualitas interior yang murahan,negatif
27,Mesin cepat panas dan boros bahan bakar,negatif
28,Suspensi terlalu keras membuat tidak nyaman,negatif
29,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
30,Suspensi terlalu keras membuat tidak nyaman,negatif
31,Mobil sering mogok meskipun baru dibeli,negatif
32,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
33,Harga tidak sebanding dengan kualitas yang diberikan,negatif
34,Saya kecewa dengan kualitas interior yang murahan,negatif
35,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
36,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
37,Fitur hiburannya membuat perjalanan jadi menyenangkan,positif
38,Mobil sering mogok meskipun baru dibeli,negatif
39,Pelayanan di bengkel sangat lambat dan mengecewakan,negatif
40,Garansi yang diberikan membuat saya merasa aman,positif
41,Fitur mobil sering error dan tidak berfungsi,negatif
42,AC mobil tidak dingin sejak pertama pakai,negatif
43,Sangat cocok untuk keluarga kecil seperti saya,positif
44,Harga tidak sebanding dengan kualitas yang diberikan,negatif
45,Suara mesin terlalu bising saat dikendarai,negatif
46,Desain interiornya modern dan elegan,positif
47,Suspensi terlalu keras membuat tidak nyaman,negatif
48,Mesin cepat panas dan boros bahan bakar,negatif
49,AC mobil tidak dingin sejak pertama pakai,negatif
50,Mobil sering mogok meskipun baru dibeli,negatif
51,Mobil ini sangat nyaman dikendarai dan irit bahan bakar,positif
52,Garansi yang diberikan membuat saya merasa aman,positif
53,"Konsumsi BBM sangat efisien, cocok untuk pemakaian harian",positif
54,Saya kecewa dengan kualitas interior yang murahan,negatif
55,Showroom sangat membantu selama proses pembelian,positif
56,Saya sangat puas dengan performa mesin mobil ini,positif
